"Report Refresh Date";"User Principal Name";"Is Deleted";"Deleted Date";"Last Activity Date";"Assigned Products";"Report Period";"Viewed Or Edited File Count";"Synced File Count";"Shared Internally File Count";"Shared Externally File Count";"Visited Page Count"
"2023-07-29";"1295@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT STREAM TRIAL+MICROSOFT POWER AUTOMATE FREE";180;325;0;2;0;25
"2023-07-29";"4825@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 E3";180;5;0;0;0;6
"2023-07-29";"3498@anonimo.com";"False";;"2023-06-22";"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180;2;3;0;0;5
"2023-07-29";"4686@anonimo.com";"False";;"2023-06-06";;180;134;0;1;0;16
"2023-07-29";"5312@anonimo.com";"False";;"2023-07-27";"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180;13;0;1;0;13
"2023-07-29";"3589@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180;32;0;0;0;13
"2023-07-29";"5603@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING";180;91;0;5;0;16
"2023-07-29";"1170@anonimo.com";"False";;"2023-06-13";"MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3+VISIO PLAN 2";180;7;0;0;0;2
"2023-07-29";"5309@anonimo.com";"False";;"2023-07-29";"MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE";180;15;0;2;0;26
"2023-07-29";"1401@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+POWER BI PRO";180;29;8;6;0;12
"2023-07-29";"5211@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT STREAM TRIAL+MICROSOFT POWER AUTOMATE FREE+ENTERPRISE MOBILITY + SECURITY E3";180;322;75;1;0;12
"2023-07-29";"4376@anonimo.com";"False";;"2023-07-11";;180;5;0;0;0;4
"2023-07-29";"1000@anonimo.com";"False";;"2023-07-28";"POWER BI PRO+MICROSOFT 365 F1";180;23;0;0;0;16
